Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Швайка,Михайло,Пилипович,Чоловіча,2005-09-03,Епідеміолог,хутір Ананьїв,"набережна Магнітогорський 2-й, буд. 07, Новгород-Сіверський, 48588",+380 00 528 46 19,onysymzatula@example.com
Забара,Анжела,Гордіївна,Жіноча,1983-08-30,Кухар,селище Лубни,"узвіз Кладовищенська, буд. 3, Кропивницький, 65206",021 597-59-39,vadym74@example.org
Дурдинець,Одарка,Захарівна,Жіноча,1938-09-14,Письменник,селище Берегове,"сквер Панченка, буд. 002 кв. 788, Яготин, 54471",735-76-89,iukhymandriishyn@example.net
Жук,Володимира,Іллівна,Жіноча,1956-06-27,Хореограф,селище Армянськ,"узвіз Катаєва, буд. 2 кв. 155, Сіверськ, 79921",022 265 17 82,qsamoilenko@example.org
Семенченко,Богдан,Васильович,Чоловіча,1981-05-09,Правник,місто Червоноград,"шосе Каховський, буд. 1, Керч, 16449",325-04-81,mykytiukoleksandr@example.org
Кабаненко,Марко,Зорянович,Чоловіча,1976-04-26,Конструктор,село Євпаторія,"шосе Восьмого Березня Лінія 3-тя, буд. 6, Зміїв, 40800",760-64-66,bohdanna72@example.com
Луценко,Йосип,Аврелійович,Чоловіча,2001-04-15,Астроном,хутір Малин,"провулок Парашутний, буд. 21, Теребовля, 26876",341 89 94,mandriievych@example.org
Рак,Любов,Андріївна,Жіноча,1978-01-22,Водій,селище Борислав,"сквер Кредитний, буд. 62 кв. 45, Золочів, 92438",+380 (78) 157-60-00,valentyna07@example.net
Фоменко,Дарина,Петрівна,Жіноча,1967-06-14,Маркетолог,місто Сквира,"сквер Ніжинська, буд. 017, Харків, 83616",+380 (24) 621-34-66,emiliia57@example.net
Євтушенко,Олег,Вадимович,Чоловіча,1946-07-28,Громадський діяч,хутір Кобеляки,"парк Зернова, буд. 1 кв. 68, Вільногірськ, 29843",943-09-80,bohodar94@example.org
Макаренко,Оксана,Симонівна,Жіноча,1988-06-26,Письменник,село Рівне,"сквер Віцеадмірала Азарова, буд. 401, Лутугине, 87663",+380 31 679-04-62,hennadiitryhub@example.org
Гук,Христина,Єлисеївна,Жіноча,1969-01-10,Євнух,село Ковель,"набережна Восьмого березня 2-й, буд. 8 кв. 43, Обухів, 82481",098 960 27 09,ievdokymenkooles@example.com
Панчук,Кирило,Арсенович,Чоловіча,1992-06-08,Агроном,селище Лутугине,"проспект Гвоздична, буд. 6 кв. 533, Хмельницький, 12407",000 87 55,irenaatroshchenko@example.org
Пустовіт,Софія,Єфремівна,Жіноча,1984-09-12,Кінорежисер,селище Коростень,"проспект 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 35, Очаків, 89780",389-47-79,lizapoltavets@example.org
Гресь,Григорій,Вадимович,Чоловіча,1981-01-16,Геолог,хутір Гнівань,"провулок Гвоздичний, буд. 549 кв. 02, Дрогобич, 69097",+380 (92) 420-03-67,kostiantynzabila@example.com
Скиба,Святослав,Сергійович,Чоловіча,1953-02-08,Науковець,село Яготин,"сквер Місячна, буд. 24 кв. 923, Первомайськ, 04375",+380 76 554-07-06,asaulavalentyn@example.org
Абрамчук,Орина,Несторівна,Жіноча,1964-08-16,Біолог,місто Новоукраїнка,"шосе Князівський, буд. 45, Карлівка, 83730",+380 (96) 837-26-32,kyrylo03@example.net
Левченко,Клавдія,Омелянівна,Жіноча,1946-10-28,Сценарист,селище Харків,"провулок Берегова, буд. 39, Карлівка, 65825",030 156-81-34,alla21@example.net
Туркало,Аніта,Феофанівна,Жіноча,1973-05-19,Інженер,село Южне,"парк Одеська, буд. 4, Новоукраїнка, 06915",+380 54 653-18-73,prokhirkolisnychenko@example.net
Стус,Вікторія,Феофанівна,Жіноча,2006-10-22,Детектив,хутір Добропілля,"узвіз Соляний 4-й, буд. 388, Моспине, 82070",+380 60 647 26 88,oleksalutsenko@example.org
Романенко,Наталія,Адамівна,Жіноча,2005-01-03,Бізнесмен,місто Надвірна,"узвіз Верхня, буд. 107 кв. 131, Святогірськ, 38880",+380 (57) 094-91-08,wkharchenko@example.org
Штокало,Михайлина,Єлисеївна,Жіноча,1992-11-11,Мікробіолог,місто Нікополь,"провулок Миколи Вороного, буд. 3, Знам'янка, 40515",797-22-49,kamillatkach@example.net
Дацюк,Олекса,Гаврилович,Чоловіча,1986-07-19,Фізик,селище Харцизьк,"сквер Каманіна, буд. 5, Стебник, 14672",058 533 94 29,maryna60@example.com
Архипенко,Климент,Климентович,Чоловіча,1975-03-02,Детектив,місто Верхівцеве,"узвіз Ромашкова, буд. 1 кв. 0, Чистякове, 69285",130 33 51,daryna72@example.org
Фесенко,Богданна,Едуардівна,Жіноча,1941-02-27,Живописець,село Балта,"парк Вітчизняна, буд. 74 кв. 123, Жидачів, 01064",586-37-57,akymenkoihor@example.com
Лагода,Людмила,Миронівна,Жіноча,1971-04-29,Програміст,місто Олешки,"узвіз Поперечний, буд. 073 кв. 80, Бахчисарай, 54396",452-50-94,vladyslavostapchuk@example.org
Бевзенко,Ліза,Захарівна,Жіноча,1950-06-13,Бібліограф,хутір Почаїв,"сквер Тимірязєва 3-й, буд. 8, Батурин, 93934",007 497-48-63,dakymenko@example.com
Ванченко,Оксана,Марківна,Жіноча,2002-07-03,Різноробочий,місто Кодима,"площа Академіка Гаркавого, буд. 787, Кипуче, 46208",+380 92 031 09 36,artemsirobaba@example.net
Бабійчук,Ада,Георгіївна,Жіноча,1966-05-19,Гицель,село Узин,"вулиця Раїси Сергієнко, буд. 48 кв. 9, Оріхів, 68781",568 37 19,ievhendavydenko@example.org
Гузь,Семен,Пилипович,Чоловіча,1959-04-22,Кушнір,місто Ямпіль,"вулиця Львівська, буд. 811, Путивль, 10429",080 641 07 37,odarka20@example.org
Рудько,Гордій,Антонович,Чоловіча,1969-10-20,Гінеколог,місто Чортків,"сквер Лазурний 4-й, буд. 76 кв. 9, Ірпінь, 46009",+380 (72) 988-08-55,rozaliia77@example.net
Савенко,Лукʼян,Віталійович,Чоловіча,1949-04-05,Кіноактор,місто Хотин,"узвіз Аграрна, буд. 1 кв. 3, Ямпіль, 87393",068 135-47-59,ustymhaievskyi@example.com
Хомик,Пріска,Пантелеймонівна,Жіноча,1949-07-09,Архітектор,місто Зіньків,"вулиця Виноградна 1-ша, буд. 338 кв. 503, Макіївка, 61264",390-49-29,jdanchenko@example.net
Єременко,Юхим,Леопольдович,Чоловіча,1987-03-29,Шериф,селище Тростянець,"сквер Радіальна, буд. 329 кв. 19, Генічеськ, 31801",287 69 42,martazinchuk@example.org
Аронець,Надія,Остапівна,Жіноча,1962-10-06,Науковець,селище Заставна,"сквер Астрономічна, буд. 52 кв. 651, Ватутіне, 47564",+380 29 518-59-61,dtsushko@example.com
Кабаненко,Василь,Андрійович,Чоловіча,1962-05-02,Гінеколог,хутір Красилів,"вулиця Тещин міст, буд. 501, Вараш, 67720",+380 (60) 795-29-62,huzfeofan@example.net
Дзиндра,Станіслав,Миколайович,Чоловіча,1991-09-11,Математик,село Українськ,"парк Селекційний, буд. 2 кв. 609, П'ятихатки, 92362",549-03-03,les54@example.com
Бабʼяк,Віолетта,Павлівна,Жіноча,1975-11-30,Архітектор,село Угнів,"набережна Спортивний, буд. 3 кв. 684, Гірник , 62070",+380 (36) 049-63-61,klyment85@example.net
Супруненко,Климент,Іванович,Чоловіча,1944-07-12,Складальник,село Тульчин,"узвіз Собінова, буд. 7, Ромни, 09655",+380 32 429-15-85,achornovil@example.com
Франчук,Єфрем,Бориславович,Чоловіча,1971-07-13,Флорист,місто Лубни,"парк Молодіжна, буд. 47 кв. 5, Іршава, 27724",+380 (34) 416-35-78,aivanychuk@example.net
Єрмоленко,Аніта,Володимирівна,Жіноча,1940-06-29,Диригент,хутір Кременчук,"проспект Житомирська, буд. 57, Чернігів, 47902",+380 49 265-29-25,qviter@example.com
Павличенко,Вадим,Васильович,Чоловіча,1990-09-14,Різноробочий,село Заставна,"вулиця Аеродромний 1-й, буд. 1, Корюківка, 96414",968 22 78,petrenkoliudmyla@example.com
Бабиченко,Трохим,Орестович,Чоловіча,1969-01-01,Історик,місто Самбір,"набережна Новікова 2-га, буд. 50, Підгородне, 64091",+380 (54) 204-44-93,talaneduard@example.com
Забіла,Михайлина,Лесівна,Жіноча,1947-09-10,Зоолог,хутір Ворожба,"узвіз Кустанайський 2-й, буд. 36 кв. 9, Петрово-Красносілля, 72842",+380 50 007-33-16,allaabramenko@example.com
Вахній,Василина,Богодарівна,Жіноча,1954-01-29,Краєзнавець,селище Козятин,"парк Достоєвського, буд. 5 кв. 8, Золочів, 52556",024 872-35-54,violettamishchenko@example.net
Дрозд,Амвросій,Стефанович,Чоловіча,1964-01-17,Гірничий інженер,місто Канів,"набережна Світанку, буд. 03, Кам'янка-Бузька, 19149",+380 21 896 12 84,iurchyshynivan@example.com
Чабан,Максим,Бориславович,Чоловіча,1954-04-09,Складальник,місто Мукачево,"площа Житомирський 3-й, буд. 5 кв. 1, Жовква, 69568",470-54-35,irenaabramenko@example.com
Саєнко,Леопольд,Іванович,Чоловіча,1968-10-18,Фермер,село Авдіївка,"вулиця Проїзний 1-й, буд. 640, Світловодськ, 88168",147 22 37,hodunokielysaveta@example.net
Валенко,Аніта,Степанівна,Жіноча,1983-10-17,Пекар,місто Вовчанськ,"шосе Смоленська, буд. 7 кв. 2, Каховка, 68040",+380 49 970 65 88,bdrobakha@example.net
Овчаренко,Леон,Микитович,Чоловіча,1954-08-18,Клоун,селище Добропілля,"набережна Лугова, буд. 4 кв. 8, Новгород-Сіверський, 90333",062 259 77 27,iaremkolukian@example.org
Кибкало,Омелян,Демидович,Чоловіча,1987-10-27,Кухар,село Судак ,"шосе Кренкеля, буд. 70, Алмазна, 52130",+380 38 654-03-39,tdanchuk@example.org
Килимник,Панас,Антонович,Чоловіча,1954-01-27,Фізик,село Хрустальний,"набережна Панаса Мирного, буд. 8, Волочиськ, 83056",+380 24 454-16-66,shyianoleksandr@example.net
Лубенець,Соломія,Августинівна,Жіноча,1938-12-05,Петрограф,місто Олевськ,"сквер Академіка Глушка, буд. 181 кв. 439, Перещепине, 61456",008 522 82 05,iosyptovstolis@example.net
Жайворон,Ярема,Олексович,Чоловіча,1962-11-23,Бізнесмен,село Оріхів,"вулиця Юннатів 2-й, буд. 1, Новоград-Волинський, 40434",507-59-51,vasylashkomakar@example.org
Журба,Галина,Богданівна,Жіноча,1948-05-22,Соціолог,село Любомль,"провулок Смоленська, буд. 9 кв. 773, Остер , 54101",246 96 33,lukashsymon@example.com
Черінько,Данна,Юхимівна,Жіноча,1949-05-30,Кінорежисер,хутір Вовчанськ,"проспект Пересипська 7-ма, буд. 675 кв. 013, Мирноград, 74358",+380 08 674-76-21,artemchalenko@example.net
Ващенко,Мілена,Ярославівна,Жіноча,1996-11-08,Гірничий інженер,село Лиман ,"площа Сонячна, буд. 33, Виноградів, 06563",+380 69 681-02-60,iefrem12@example.net
Баранець,Єва,Стефанівна,Жіноча,1958-12-25,Співак,хутір Винники,"парк Зоринська, буд. 849, Ківерці, 80845",+380 73 690 55 00,vyshyvanyianita@example.com
Дубина,Галина,Єлисеївна,Жіноча,1988-09-28,Доцент,селище Моршин,"набережна Долинська, буд. 0, Жовті Води, 13242",+380 05 016 03 45,alevtynudovychenko@example.org
Журавель,Роксолана,Гаврилівна,Жіноча,1998-02-11,Ріелтор,місто Українка ,"парк Керченський 3-й, буд. 4, Вишневе , 96232",856 70 31,shynkarenkovladyslav@example.org
Овсієнко,Василь,Хомович,Чоловіча,1998-12-29,Графік,селище Берислав,"набережна Нежданової, буд. 536 кв. 8, Брянка, 15490",+380 20 059 91 56,onysymtovstukha@example.com
Гаврюшенко,Мілена,Тимофіївна,Жіноча,1995-12-03,Кінорежисер,місто Сулимівка (Слов'янськ),"узвіз Угорська, буд. 0, Сокиряни, 81142",+380 30 766 98 18,leontii33@example.org
Рябець,Леопольд,Максимович,Чоловіча,1977-06-28,Складальник,село Глиняни,"площа Костанді 3-й, буд. 03, Сорокине, 31566",+380 (93) 039-62-35,obabarychenko@example.org
Артимович,Зиновій,Геннадійович,Чоловіча,1964-11-06,Мінералог,село Ходорів,"вулиця Бригадна, буд. 8 кв. 6, Сновськ, 75045",572-50-53,nikoliukkostiantyn@example.net
Гайдамака,Борис,Глібович,Чоловіча,1958-08-28,Няня,село Сімферополь,"узвіз 5-та Суворовська, буд. 306 кв. 8, Старокостянтинів, 20721",260 34 76,baidakvarvara@example.com
Скопенко,Оксенія,Амвросійовна,Жіноча,1946-04-07,Єгер,хутір Кролевець,"площа Юннатів 1-й, буд. 975 кв. 085, Мерефа, 43863",+380 03 739-33-24,fizhak@example.com
Петренко,Орина,Ігорівна,Жіноча,1980-01-05,Бібліотекар,селище Шостка,"сквер Республіканська, буд. 955 кв. 6, Канів, 76466",011 416 09 86,teodorhunko@example.net
Скоробогатько,Олег,Тарасович,Чоловіча,1958-03-20,Намотувальник,селище Борислав,"набережна Слобідська, буд. 86 кв. 77, Валки , 72055",+380 10 813-61-47,avanchenko@example.org
Заруба,Микита,Едуардович,Чоловіча,1980-07-18,Золотар,селище Молочанськ,"узвіз Єнісейська, буд. 8 кв. 51, Вашківці, 08016",830-02-36,zasukhaavrelii@example.org
Адамчук,Марія,Феофанівна,Жіноча,1972-01-30,Флорист,хутір Часів Яр,"узвіз Новаторів, буд. 02 кв. 92, Павлоград, 79175",020 552 66 64,azubko@example.net
Андрощук,Святослав,Омелянович,Чоловіча,1998-12-22,Етнограф,селище Ковель,"парк Супутників, буд. 422, Бібрка, 31255",081 878-99-69,spasiakovenko@example.org
Смик,Тереза,Романівна,Жіноча,1941-07-15,Льотчик,хутір Тернопіль,"площа Балтський 8-й, буд. 953 кв. 08, Березань , 86680",+380 (92) 379-70-48,saleksiuk@example.org
Доценко,Станіслав,Володимирович,Чоловіча,1984-08-25,Бібліограф,селище Броди,"вулиця Зоринська, буд. 32, Саки , 46251",+380 (35) 766-06-33,roksolana53@example.net
Чуприна,Анжела,Романівна,Жіноча,1957-05-19,Етнограф,село Вовчанськ,"сквер Лиманчик 2-й Лінія 2-га, буд. 529, Хуст, 59661",637 13 97,demianhavrylyshyn@example.org
Башполченко,Марко,Мартинович,Чоловіча,1996-03-11,Флорист,місто Бобринець,"провулок Хімічний 1-й, буд. 7 кв. 467, Географія Вільнянська, 97480",098 413 30 37,tvovk@example.org
Чуйко,Сергій,Ігорович,Чоловіча,1993-01-06,Підприємець,село Мостиська,"сквер Суворовська, буд. 96, Могилів-Подільський, 09266",032 915 80 35,vatamaniukvira@example.net
Вдовиченко,Павло,Аврелійович,Чоловіча,1978-03-04,Сценарист,хутір Берестечко,"вулиця Флотська, буд. 632 кв. 25, Самбір, 42115",+380 49 928-97-72,tarasenkoavhustyn@example.net
Гриценко,Валерій,Омелянович,Чоловіча,1958-08-10,Етнограф,селище Тетіїв,"узвіз Трудова, буд. 7, Оріхів, 56309",+380 40 821 00 52,oleksapetliura@example.org
Михалюк,Аніта,Адамівна,Жіноча,1957-09-21,Хімік,селище Ніжин,"парк Китобійний 1-й, буд. 198, Бахмач, 68441",+380 34 893-69-74,arkhypenkoleontii@example.com
Корбут,Вадим,Петрович,Чоловіча,2002-06-05,Електромонтер,місто Донецьк,"вулиця Глухий міст, буд. 878 кв. 6, Кам'янка-Дніпровська, 02609",976-51-02,liubov59@example.org
Заїка,Вікторія,Петрівна,Жіноча,1987-05-15,Кушнір,село Бобровиця,"парк Бузковий 2-й, буд. 58 кв. 97, Шепетівка, 35803",+380 35 404-70-37,ilupii@example.org
Батюк,Степан,Тимофійович,Чоловіча,1994-01-01,Бухгалтер,село Хуст,"проспект Качалова, буд. 76 кв. 4, Галич, 59105",+380 35 859-87-79,ubabak@example.com
Приходько,Юстина,Стефанівна,Жіноча,1993-07-19,Гінеколог,село Зборів,"вулиця Шептицікого, буд. 977 кв. 23, Тульчин, 47957",+380 53 299 33 52,ievtushenkosemen@example.org
Ярош,Опанас,Пантелеймонович,Чоловіча,1985-07-12,Ріелтор,хутір Южноукраїнськ,"провулок Олександра Невського 1-й, буд. 5 кв. 129, Світловодськ, 63543",935-52-36,chmilerika@example.net
Іваничук,Ярослав,Тимофійович,Чоловіча,1984-09-26,Візажист,хутір Зеленодольськ,"площа Серединський, буд. 110, Сокиряни, 36478",+380 07 464-41-27,jokhrimenko@example.org
Дашкевич,Пріска,Володимирівна,Жіноча,1981-06-05,Географ,селище Косів,"площа Тимірязєва 4-й, буд. 5, Івано-Франківськ, 91552",+380 46 428-67-52,iievtushenko@example.com
Вахній,Гаврило,Теодорович,Чоловіча,2008-06-08,Художник,місто Сватове,"узвіз Будівельна, буд. 401 кв. 331, Червоноград, 52239",121-18-41,eivasiuk@example.org
Вишиваний,Маруся,Германівна,Жіноча,1979-05-26,Мистецтвознавець,місто Тараща,"провулок Ломоносова, буд. 7 кв. 9, Борислав, 90744",039 474 91 07,bezditkoievhen@example.com
Затовканюк,Вікторія,Артемівна,Жіноча,1992-09-19,Гицель,село Чугуїв,"площа Курганська, буд. 94, Херсон, 54458",056 468 93 85,ishchakmartyn@example.com
Забара,Варвара,Єфремівна,Жіноча,1988-11-22,Сантехнік,селище Деражня,"узвіз Лиманчик 2-й Лінія 9-та, буд. 352 кв. 09, Біла Церква, 77592",382 23 55,boryslavbezborodky@example.org
Данькевич,Богуслав,Ярославович,Чоловіча,2002-06-07,Золотар,хутір Липовець,"вулиця Кренкеля, буд. 320, Виноградів, 86410",388-02-18,dakhnosnizhana@example.net
Іващенко,Онисим,Мартинович,Чоловіча,1941-11-12,Футболіст,хутір Лубни,"сквер Михайла Жванецького, буд. 1 кв. 250, Рівне, 66375",+380 45 009-78-41,masliakonysym@example.net
Абрагамовський,Олег,Геннадійович,Чоловіча,1947-01-26,Бухгалтер,селище Брянка,"шосе Академіка Глушка, буд. 12 кв. 7, Ізяслав, 50867",082 768-02-57,aiermolenko@example.net
Салій,Надія,Соломонівна,Жіноча,1980-10-04,Кур'єр,хутір Кам'янське,"проспект Східний 1-й, буд. 3 кв. 74, Стебник, 91586",148 09 30,rostyslav99@example.net
Юрчишин,Данна,Дмитріївна,Жіноча,1964-10-11,Електротехнік,місто Сновськ,"площа Безіменний, буд. 7 кв. 2, Городок, 33314",821 23 15,ksahal@example.com
Демʼянчук,Григорій,Миколайович,Чоловіча,1950-07-20,Живописець,місто Городня,"провулок Кипарисний 2-й, буд. 17 кв. 81, Кіцмань, 79027",514-11-55,xneporozhnii@example.org
Габелко,Борислав,Романович,Чоловіча,1959-11-21,Дипломат,селище Болехів,"парк 21-й км Старокиївської дороги, буд. 585, Новодружеськ, 25480",039 674 43 71,mykhaliukvira@example.net
Товстуха,Антон,Валерійович,Чоловіча,1967-03-23,Диригент,хутір Житомир,"вулиця Аптекарський, буд. 2 кв. 88, Алмазна, 69075",+380 69 485-49-47,ceibozhenko@example.com
Дубина,Василина,Демʼянівна,Жіноча,1946-11-15,Етнограф,селище Перевальськ,"проспект Суднобудівна, буд. 963 кв. 71, Кролевець, 29028",040 531-34-92,panasadamchuk@example.org
Гуцуляк,Варфоломій,Юстимович,Чоловіча,1986-06-10,Сантехнік,селище Львів,"провулок Поштова, буд. 5, Тернівка , 51456",079 018-01-85,somkonataliia@example.org
Вітрук,Микита,Віталійович,Чоловіча,1950-05-21,Кінокритик,село Вилкове,"сквер Богдана Хмельницького, буд. 31, Чортків, 68265",+380 40 536-50-93,anzhelafareniuk@example.com
Тригуб,Миколай,Лукʼянович,Чоловіча,2004-03-04,Слідчий,село Бережани,"сквер Дворянська, буд. 67, Мар'їнка, 15391",+380 (80) 602-31-77,petro95@example.com
Салій,Охрім,Сергійович,Чоловіча,1984-01-28,Стиліст,село Первомайськ,"провулок Сонячна, буд. 438 кв. 4, Роздільна, 14228",+380 43 527 70 56,abatiuk@example.net
Скопенко,Гордій,Вікторович,Чоловіча,1985-04-11,Епідеміолог,село Хмельницький,"площа Юннатів 3-й, буд. 6 кв. 87, Кам'янське, 96257",871-09-71,borys73@example.com
Оробець,Юстим,Прохорович,Чоловіча,1999-04-06,Підприємець,селище Тячів,"проспект Пересипська 9-та, буд. 820 кв. 1, Зеленодольськ, 39889",020 252-03-13,ahavrysh@example.net
Джунь,Леонтій,Симонович,Чоловіча,2001-07-06,Адвокат,село Пустомити,"шосе Немировича-Данченка, буд. 727, Полтава, 35223",974 43 91,ukozak@example.com
Килимник,Прохір,Пилипович,Чоловіча,1981-09-05,Адвокат,селище Ізяслав,"проспект Георгія Гамова, буд. 121 кв. 9, Городенка, 25601",+380 74 698-54-40,sychomelian@example.org
Іващенко,Ростислав,Опанасович,Чоловіча,1975-09-22,Кіноактор,селище Лохвиця,"сквер Князівська, буд. 782 кв. 70, Нова Одеса, 37442",+380 78 929-10-25,hordiiperebyinis@example.org
Лаба,Григорій,Олексович,Чоловіча,1944-09-12,Антрополог,хутір Красилів,"узвіз Кавунова, буд. 895 кв. 86, Каховка, 83378",067 273-60-30,kturkalo@example.org
Дуплій,Нестор,Азарович,Чоловіча,1955-06-13,Будник,село Заліщики,"вулиця Клинова, буд. 0 кв. 69, Рубіжне, 19831",054 045 06 96,stepansaienko@example.net
Каденюк,Любов,Остапівна,Жіноча,1959-10-24,Програміст,хутір Кагарлик,"площа Олександра Невського 5-й, буд. 179, Нікополь, 63220",+380 67 801-45-86,anzhela30@example.com
Вергун,Августин,Зиновійович,Чоловіча,1976-05-10,Бібліотекар,село Зугрес,"вулиця Лиманчик 2-й Лінія 1-ша, буд. 44, Сновськ, 76603",544-68-41,fkovalenko@example.net
Дубас,Антон,Андрійович,Чоловіча,1939-12-23,Співак,селище Овруч,"вулиця 1-ша Лінія Марії Демченко, буд. 6 кв. 39, Верхньодніпровськ, 54965",+380 42 168-13-68,oleh82@example.com
Яремків,Устим,Романович,Чоловіча,1946-12-05,Кур'єр,селище Новий Буг,"набережна Літня, буд. 158 кв. 89, Волноваха, 39943",038 954 86 57,vysochanhanna@example.com
Непорожній,Леон,Бориславович,Чоловіча,1999-12-19,Редактор,хутір Красноград,"вулиця Ромашкова, буд. 606 кв. 01, Севастополь, 65967",329-20-31,edytacherinko@example.com
Артюшенко,Марʼяна,Теодорівна,Жіноча,1995-12-15,Няня,місто Федорівка,"проспект Нова, буд. 590, Дружба , 44908",562 92 75,varvara69@example.net
Бабак,Леонтій,Ааронович,Чоловіча,1984-05-01,Редактор,місто Лубни,"набережна Восьмого березня 8-й, буд. 8, Первомайський , 10143",002 553-03-42,gzhytskyianita@example.com
Засенко,Захар,Олегович,Чоловіча,1963-06-23,Фермер,місто Залізне,"шосе Васнецова, буд. 47, Болград, 65157",+380 62 988 80 40,viktorhaidamaka@example.org
Власенко,Олекса,Пилипович,Чоловіча,1985-05-13,Льотчик,місто Черкаси,"набережна Ползунова 2-й, буд. 90 кв. 84, Синельникове, 04201",+380 22 155-51-74,rpiatachenko@example.org
Сомко,Марко,Антонович,Чоловіча,1946-02-16,Скульптор,місто Кам'янське,"парк Желябова, буд. 3 кв. 98, Семенівка, 71286",+380 60 294-96-15,ishchakliliia@example.org
Пилипенко,Варвара,Демидівна,Жіноча,1986-06-05,Намотувальник,місто Сторожинець,"парк Астрономічний, буд. 85, Мар'їнка, 19375",+380 82 637-49-05,boleslavabramenko@example.com
Архимович,Валентин,Назарович,Чоловіча,1977-06-16,Антрополог,місто Рогатин,"провулок Гвоздичний, буд. 531, Бахчисарай, 44524",+380 87 930-29-37,ruslan74@example.com
Гречко,Давид,Августинович,Чоловіча,1943-04-01,Письменник,село Брянка,"набережна Плієва, буд. 9, Стрий, 43061",+380 65 776 42 82,pholoborodko@example.org
Затула,Демʼян,Данилович,Чоловіча,1947-11-12,Флорист,селище Олександрівськ,"набережна Уральський, буд. 3, Новий Розділ, 28155",485-56-96,iukhym81@example.com
Перепелиця,Кирило,Несторович,Чоловіча,1963-04-01,Пекар,село Кіцмань,"площа Прохоровська, буд. 542 кв. 29, Червоносів, 82667",+380 73 431 39 71,petro03@example.net
Удовенко,Геннадій,Тимофійович,Чоловіча,1950-05-18,Маркетолог,селище Южне,"набережна Прорізна, буд. 6, Тисмениця, 68595",+380 (27) 315-91-60,bdanyliuk@example.net
Артим,Еріка,Богуславівна,Жіноча,1998-06-15,Євнух,селище Євпаторія,"площа Ланжерон, буд. 881 кв. 9, Красноград, 13936",+380 (13) 709-34-85,randriishyn@example.com
